name,lat,lon,temp,humidity,temp_max,clouds,wind,country,city_id,date
qandala,11.472,49.8728,77.99,76,77.99,67,8.01,SO,53157,1643719914
buala,-8.145,159.5921,80.29,80,80.29,78,5.46,SB,2109528,1643719915
alihe,50.5667,123.7167,-1.57,96,-1.57,96,3.2,CN,2038665,1643719915
srivardhan,18.0333,73.0167,75.94,61,75.94,0,10.71,IN,1255619,1643719915
sandwick,60.0,-1.25,44.42,70,44.42,40,46.04,GB,2638534,1643719916
oktyabrskiy,54.4815,53.471,29.7,91,29.7,100,15.48,RU,515879,1643719916
vardo,70.3705,31.1107,15.78,86,19.6,0,5.75,NO,777019,1643719918
wilmington,34.2257,-77.9447,33.82,85,36.86,0,8.05,US,4499379,1643719919
palakkad,10.7833,76.65,89.38,51,91.45,40,1.95,IN,1260728,1643719919
kifri,34.6959,44.9661,53.82,55,53.82,13,9.35,IQ,94298,1643719919
marrakesh,31.6315,-8.0083,73.47,28,73.47,68,6.91,MA,2542997,1643719920
bosaso,11.2842,49.1816,80.58,78,80.58,0,20.71,SO,64013,1643719920
margate,51.3813,1.3862,54.81,66,59.18,100,11.99,GB,2643044,1643719921
kushima,31.4583,131.2333,46.44,76,46.44,17,9.6,JP,1895695,1643719921
mutare,-18.9707,32.6709,79.05,57,79.05,74,8.12,ZW,884979,1643719921
sorland,67.667,12.6934,31.86,56,31.86,100,14.67,NO,3137469,1643719922
cherskiy,68.75,161.3,-2.49,82,-2.49,100,5.21,RU,2126199,1643719924
evensk,61.95,159.2333,19.27,80,19.27,100,32.5,RU,2125693,1643719925
amahai,-3.3333,128.9167,78.93,79,78.93,100,9.48,ID,1651591,1643719925
caxias,38.7031,-9.2767,62.51,37,65.48,0,5.99,PT,2269449,1643719925
jieshi,22.8134,115.8257,53.94,87,53.94,100,14.18,CN,1805857,1643719926
kirensk,57.7853,108.1119,-7.74,100,-7.74,93,1.88,RU,2022083,1643719926
namibe,-15.1961,12.1522,83.03,54,83.03,0,20.71,AO,3347019,1643719927
baglung,28.2719,83.5898,48.36,85,48.36,95,2.33,NP,1283711,1643719927
kieta,-6.2167,155.6333,79.84,84,79.84,100,3.24,PG,2094027,1643719927
bagamoyo,-6.4333,38.9,87.78,58,90.01,13,6.98,TZ,161290,1643719928
souillac,-20.5167,57.5167,79.18,94,80.37,75,21.85,MU,933995,1643719930
skjervoy,70.0311,20.9714,26.78,44,26.78,86,10.85,NO,777682,1643719930
saint-ambroise,48.5501,-71.3324,-22.41,76,-17.91,22,3.44,CA,6137381,1643719931
bundaberg,-24.85,152.35,77.22,79,77.29,75,4.0,AU,2173323,1643719931
ponta do sol,32.6667,-17.1,76.12,26,76.12,0,15.14,PT,2264557,1643719932
merauke,-8.4667,140.3333,79.41,81,79.41,100,4.97,ID,2082539,1643719932
pangody,65.85,74.4859,-7.62,100,-7.62,94,6.64,RU,1495626,1643719932
guanica,17.9716,-66.908,76.37,77,80.91,0,1.99,PR,4565090,1643719933
puri,19.8,85.85,75.72,67,75.72,38,11.81,IN,1259184,1643719933
luba,3.4568,8.5547,85.89,73,85.89,21,6.58,GQ,2309528,1643719933
minsk,53.9,27.5667,26.35,92,26.35,99,8.77,BY,625144,1643719936
qesarya,32.5189,34.9046,61.9,55,62.53,13,6.49,IL,7117228,1643719936
lima,-12.0432,-77.0282,69.13,44,69.39,0,6.91,PE,3936456,1643719937
gizo,-8.103,156.8419,82.89,77,82.89,93,9.28,SB,2108857,1643719937
urengoy,65.9667,78.3667,-0.67,99,-0.67,100,5.48,RU,1488414,1643719937
kiunga,-6.1219,141.2906,73.02,98,73.02,100,1.97,PG,2093846,1643719937
saint-denis,48.9167,2.3333,46.56,93,48.88,100,4.0,FR,2980915,1643719938
santa isabel do rio negro,-0.4139,-65.0192,77.22,90,77.22,100,4.47,BR,3662489,1643719938
plouzane,48.3833,-4.6167,50.14,93,50.32,100,14.97,FR,2986626,1643719938
hamamatsu,34.7,137.7333,43.02,69,44.22,88,5.01,JP,1863289,1643719849
itarema,-2.9248,-39.9167,85.19,63,85.19,100,12.15,BR,3393692,1643719941
carinhanha,-14.3047,-43.765,82.18,66,82.18,100,1.57,BR,3466950,1643719941
saint simons,31.1352,-81.3901,38.98,96,41.04,0,4.61,US,4220862,1643719942
sokoni,-6.4333,39.55,87.66,73,89.89,5,7.96,TZ,149812,1643719942
ariquemes,-9.9133,-63.0408,74.26,90,74.26,88,1.83,BR,3665199,1643719942
dingle,10.9995,122.6711,74.71,92,74.71,100,7.16,PH,1714733,1643719943
vanimo,-2.6741,141.3028,76.93,89,76.93,100,6.82,PG,2084442,1643719943
acajutla,13.5928,-89.8275,69.8,70,69.8,7,3.85,SV,3587498,1643719943
mackay,-21.15,149.2,78.78,83,78.78,35,5.75,AU,2159220,1643719943
helong,42.5397,128.9972,6.75,87,6.75,11,5.91,CN,2036933,1643719944
beyneu,45.3167,55.2,35.8,86,35.8,100,12.95,KZ,610298,1643719946
komsomolskiy,40.4272,71.7189,39.92,70,40.42,0,2.3,UZ,1513491,1643719947
muravlenko,63.7898,74.523,-11.0,100,-11.0,78,4.36,RU,1540711,1643719947
concordia,-31.393,-58.0209,78.46,44,78.46,12,7.43,AR,3435261,1643719947
linhares,-19.3911,-40.0722,83.82,68,83.82,100,6.67,BR,3458498,1643719948
vostok,46.4856,135.8833,-4.54,100,-4.54,97,3.71,RU,2013279,1643719948
opuwo,-18.0607,13.84,90.75,15,90.75,22,17.69,NA,3354077,1643719948
farafangana,-22.8167,47.8333,81.63,65,81.63,3,9.53,MG,1065158,1643719949
chernyshevskiy,63.0128,112.4714,-29.36,100,-29.36,20,2.06,RU,2025456,1643719949
mitsamiouli,-11.3847,43.2844,84.49,70,84.49,75,6.91,KM,921786,1643719949
biak,-0.9131,122.8766,78.42,74,78.42,100,6.44,ID,1637001,1643719952
urusha,54.05,122.9,-10.7,94,-10.7,73,4.29,RU,2014078,1643719952
aleppo,36.25,37.5,53.6,52,53.6,100,3.31,SY,170062,1643719952
weymouth,42.2209,-70.9398,18.54,74,32.72,40,10.36,US,4955336,1643719953
saint-joseph,-21.3667,55.6167,81.91,78,88.16,25,19.28,RE,6690296,1643719953
teahupoo,-17.8333,-149.2667,71.56,77,71.56,39,20.0,PF,4033543,1643719953
khovu-aksy,51.1333,93.6,-9.96,89,-9.96,94,2.68,RU,1503527,1643719954
herouville-saint-clair,49.2109,-0.3065,50.59,93,50.99,100,18.41,FR,3013403,1643719954
zyryanovsk,49.7386,84.2719,-3.32,100,-3.32,92,2.01,KZ,1516438,1643719954
cidreira,-30.1811,-50.2056,74.26,70,74.26,100,7.49,BR,3466165,1643719955
mayo,38.8876,-76.5119,23.36,78,28.74,0,0.0,US,4362001,1643719959
mogadishu,2.0371,45.3438,85.87,70,85.87,20,18.41,SO,53654,1643719960
luanda,-8.8368,13.2343,86.0,62,86.0,20,13.8,AO,2240449,1643719826
kaitangata,-46.2817,169.8464,59.61,98,59.61,85,6.46,NZ,2208248,1643719960
hamilton,39.1834,-84.5333,30.79,77,34.21,75,1.01,US,4513583,1643719762
camacha,33.0833,-16.3333,63.82,72,63.82,0,23.02,PT,2270385,1643719961
voznesenye,61.0106,35.4781,18.19,96,18.19,100,5.55,RU,471160,1643719961
vrangel,42.7297,133.0839,19.06,57,19.06,0,15.26,RU,2013258,1643719961
yanliang,34.6592,109.2292,34.79,41,34.79,100,3.78,CN,1787144,1643719962
fallon,39.4735,-118.7774,28.56,48,30.07,100,17.27,US,5503914,1643719962
bethel,41.3712,-73.414,15.82,65,27.3,5,3.94,US,5282297,1643719964
fairlie,55.756,-4.8556,51.39,78,52.41,100,13.0,GB,2649738,1643719965
sorong,-0.8833,131.25,80.37,77,80.37,100,14.43,ID,1626542,1643719965
hatton,6.8916,80.5955,62.46,84,62.46,7,1.48,LK,1244596,1643719966
sehithwa,-20.4667,22.7167,82.2,54,82.2,81,13.44,BW,933109,1643719966
nadym,65.5333,72.5167,-14.49,100,-14.49,71,6.26,RU,1498087,1643719966
niederkassel,50.8167,7.0333,43.54,91,45.52,75,18.41,DE,2863223,1643719967
cabo san lucas,22.8909,-109.9124,65.52,71,65.52,0,10.36,MX,3985710,1643719776
lang son,21.8333,106.7333,47.68,87,47.68,100,5.12,VN,1576633,1643719967
dzhebariki-khaya,62.2167,135.8,-22.32,99,-22.32,100,0.51,RU,2024626,1643719968
padang,-0.9492,100.3543,77.05,87,77.05,100,1.07,ID,1633419,1643719970
kirkland lake,48.1446,-80.0377,17.89,79,17.89,100,15.23,CA,5992836,1643719834
angoche,-16.2325,39.9086,84.9,64,84.9,5,12.21,MZ,1052944,1643719971
la cruz,23.9167,-106.9,57.65,58,57.65,0,3.65,MX,4002745,1643719971
ostersund,63.1792,14.6357,10.85,92,13.6,100,4.61,SE,2685750,1643719971
vila velha,-20.3297,-40.2925,82.94,80,82.94,0,5.01,BR,3445026,1643719673
inhambane,-23.865,35.3833,87.01,62,87.78,40,8.99,MZ,1045114,1643719972
lorengau,-2.0226,147.2712,78.6,87,78.6,100,16.35,PG,2092164,1643719972
moron,-34.6534,-58.6198,70.39,55,73.02,0,7.0,AR,3430545,1643719972
grindavik,63.8424,-22.4338,32.47,74,32.47,75,4.61,IS,3416888,1643719973
hokitika,-42.7167,170.9667,65.03,84,65.03,100,6.02,NZ,2206894,1643719975
kingman,35.1894,-114.053,43.0,17,47.55,100,1.01,US,5301067,1643719976
wildwood,38.5828,-90.6629,41.52,71,47.34,40,3.0,US,4414749,1643719976
kyzyl-suu,42.3414,78.0056,19.76,76,19.76,8,8.9,KG,1527497,1643719976
corinto,37.9407,22.9573,62.26,63,62.69,100,11.61,GR,259289,1643719976
ucluelet,48.9329,-125.5528,33.08,91,33.1,14,6.67,CA,6171633,1643719977
pedernales,18.0384,-71.744,76.68,70,76.68,4,2.89,DO,3495137,1643719977
roebourne,-20.7833,117.1333,86.45,66,86.45,100,13.33,AU,2062276,1643719978
yumen,40.2833,97.2,21.52,25,21.52,63,2.21,CN,1528998,1643719978
kulhudhuffushi,6.6221,73.07,82.22,73,82.22,21,8.48,MV,1337613,1643719978
pisco,-13.7,-76.2167,69.85,78,69.85,0,8.05,PE,3932145,1643719981
noyabrsk,63.1994,75.4507,-0.08,98,-0.08,100,5.61,RU,1496503,1643719981
paita,-5.0892,-81.1144,72.48,71,72.48,90,8.72,PE,3694112,1643719981
hastings,50.8552,0.5729,55.92,82,59.2,100,21.97,GB,2647356,1643719982
bathsheba,13.2167,-59.5167,79.41,78,79.41,40,16.11,BB,3374083,1643719982
byron bay,-28.65,153.6167,75.24,89,78.75,84,9.91,AU,2172880,1643719982
male,4.1748,73.5089,87.75,70,87.75,75,16.11,MV,1282027,1643719810
san rafael,-34.6177,-68.3301,81.39,24,81.39,98,6.73,AR,3836669,1643719866
irbeyskoye,55.6428,95.4522,-5.08,100,-5.08,77,1.63,RU,1505529,1643719983
pevek,69.7008,170.3133,-16.2,94,-16.2,86,2.73,RU,2122090,1643719983
narsaq,60.9167,-46.05,5.04,92,5.04,89,4.97,GL,3421719,1643719986
augusto correa,-1.0217,-46.635,83.53,69,83.53,96,6.53,BR,3406961,1643719763
nyurba,63.2842,118.3319,-30.77,100,-30.77,92,2.82,RU,2018735,1643719986
labuhan,-6.8844,112.2051,78.49,88,78.49,100,6.17,ID,8079926,1643719986
mian channun,30.44,72.3543,64.42,22,64.42,0,6.13,PK,1170486,1643719987
safford,32.834,-109.7076,50.11,39,50.11,44,3.24,US,5312476,1643719987
urubicha,-15.3833,-62.95,70.83,99,70.83,100,2.86,BO,3901969,1643719987
gornopravdinsk,60.05,69.9,-0.67,98,-0.67,100,3.53,RU,1506268,1643719807
gwadar,25.1216,62.3254,74.88,66,74.88,0,9.53,PK,1177446,1643719988
vanavara,60.34,102.2797,0.52,99,0.52,100,2.64,RU,2013727,1643719988
san cristobal,7.7669,-72.225,66.38,75,66.38,73,1.83,VE,3628473,1643719990
haines junction,60.7522,-137.5108,-38.25,67,-38.25,89,1.14,CA,5969025,1643719991
